Station Code,Name,Date,Temp,Prec,WS,Humi,Pres
108,서울,2020-06-16,24.4,,2.2,63,995.7
108,서울,2020-06-17,24.3,,2,58.6,995.3
108,서울,2020-06-18,23.4,,1.6,61.4,993.1
108,서울,2020-06-19,24.7,0.1,2.1,61.4,996.4
108,서울,2020-06-20,24.9,,2.1,62.6,1000
108,서울,2020-06-21,26.1,,2,59.5,998
108,서울,2020-06-22,28.6,,2,50.5,998
108,서울,2020-06-23,27.3,0,1.9,53.5,998.3
108,서울,2020-06-24,22.3,37.6,2.7,83.5,993.1
108,서울,2020-06-25,21.6,13.3,2.2,91,991.8
108,서울,2020-06-26,21.8,2.1,3.2,82.1,996.5
108,서울,2020-06-27,24.1,0,2,70.4,995.5
108,서울,2020-06-28,25.2,,2.4,70.5,994.8
108,서울,2020-06-29,23.8,11.9,2.4,77,991.8
108,서울,2020-06-30,20.1,64.7,4,83,984.3
108,서울,2020-07-01,21.1,0,1.9,79.3,995
108,서울,2020-07-02,24.2,,1.9,74.5,1000.9
108,서울,2020-07-03,25.5,0.1,2.6,63.5,1000.5
108,서울,2020-07-04,24.2,1.6,2.1,63.9,997
108,서울,2020-07-05,23.8,,1.9,68.6,994.5
108,서울,2020-07-06,25.6,,2.1,66.6,991.2
108,서울,2020-07-07,24.1,0,2.5,75.5,994.3
108,서울,2020-07-08,25.5,,2,71.9,994.8
108,서울,2020-07-09,27.5,,1.7,64.6,994
108,서울,2020-07-10,24.5,2.2,2.8,75,992.6
108,서울,2020-07-11,25.8,,2.6,62.6,997.5
108,서울,2020-07-12,23.5,2.9,2.4,71.9,999.3
108,서울,2020-07-13,18.7,47.6,4,94.8,993
108,서울,2020-07-14,20.3,11.5,2.8,79.4,993.9
108,서울,2020-07-15,23.4,,2,63.1,995.5
108,서울,2020-07-16,25,,1.8,70.9,997
108,서울,2020-07-17,26,0,1.9,72,998.3
108,서울,2020-07-18,26.1,,1.6,71.6,998.4
