Station Code,Station,Date,cbwd
108 ,서울,2019-11-23,70 
108 ,서울,2019-11-24,50 
108 ,서울,2019-11-25,290 
108 ,서울,2019-11-26,290 
108 ,서울,2019-11-27,320 
108 ,서울,2019-11-28,290 
108 ,서울,2019-11-29,290 
108 ,서울,2019-11-30,70 
108 ,서울,2019-12-01,50 
108 ,서울,2019-12-02,290 
108 ,서울,2019-12-03,20 
108 ,서울,2019-12-04,290 
108 ,서울,2019-12-05,320 
108 ,서울,2019-12-06,290 
108 ,서울,2019-12-07,50 
108 ,서울,2019-12-08,70 
108 ,서울,2019-12-09,70 
108 ,서울,2019-12-10,50 
108 ,서울,2019-12-11,270 
108 ,서울,2019-12-12,290 
108 ,서울,2019-12-13,50 
108 ,서울,2019-12-14,290 
108 ,서울,2019-12-15,90 
108 ,서울,2019-12-16,70 
108 ,서울,2019-12-17,290 
108 ,서울,2019-12-18,270 
108 ,서울,2019-12-19,290 
108 ,서울,2019-12-20,340 
108 ,서울,2019-12-21,50 
108 ,서울,2019-12-22,70 
108 ,서울,2019-12-23,320 
108 ,서울,2019-12-24,50 
108 ,서울,2019-12-25,50 
108 ,서울,2019-12-26,290 
108 ,서울,2019-12-27,340 
108 ,서울,2019-12-28,70 
108 ,서울,2019-12-29,70 
108 ,서울,2019-12-30,320 
108 ,서울,2019-12-31,290 
